연번,운영방식,도로명주소,지번주소,위치 ,위도,경도,Integrated,Used battery
1,Integrated,서울특별시 관악구 봉천로 279-8,서울특별시 관악구 봉천동 661,보라매동주민센터,37.48817576,126.932778,1,0
2,Integrated,서울특별시 관악구 봉천로13길 101,서울특별시 관악구 봉천동 682,연희빌라정문 앞,37.4923589,126.9326777,1,0
3,Integrated,서울특별시 관악구 봉천로 279-8,서울특별시 관악구 봉천동 661,보라매동주민센터,37.48817576,126.932778,1,0
4,Integrated,서울특별시 관악구 봉천로13다길 8,서울특별시 관악구 봉천동 673-230,적성빌라,37.49090002,126.9325749,1,0
5,Integrated,서울특별시 관악구 보라매로3길 29,서울특별시 관악구 봉천동 729-32,해태보라매타워 주차장 입구,37.49121134,126.9249903,1,0
6,Integrated,서울특별시 관악구 보라매로 62,서울특별시 관악구 봉천동 1698-1,보라매삼성아파트 105동 앞,37.4948015,126.9276026,1,0
7,Integrated,서울특별시 관악구 보라매로 62,서울특별시 관악구 봉천동 1698-1,보라매삼성아파트 103동 앞,37.4948015,126.9276026,1,0
8,Integrated,서울특별시 관악구 보라매로 62,서울특별시 관악구 봉천동 1698-1,보라매삼성아파트 101동 앞,37.4948015,126.9276026,1,0
9,Integrated,서울특별시 관악구 보라매로 62,서울특별시 관악구 봉천동 1698-1,보라매삼성아파트 107동 앞,37.4948015,126.9276026,1,0
10,Integrated,서울특별시 관악구 보라매로6길 33,서울특별시 관악구 봉천동 1500,해바라기아파트,37.49306366,126.928976,1,0
11,Integrated,서울특별시 관악구 봉천로23다길 13,서울특별시 관악구 봉천동 1702,그린아파트,37.48769758,126.9364891,1,0
12,Integrated,서울특별시 관악구 은천로5길 39,서울특별시 관악구 봉천동 645-87,복권아파트,37.48801732,126.9383172,1,0
13,Used battery,서울특별시 관악구 봉천로 279-8,서울특별시 관악구 봉천동 661,보라매동주민센터,37.48817576,126.932778,0,1
14,Integrated,서울특별시 관악구 양녕로 31,서울특별시 관악구 봉천동 1708-2,두산아파트 301동,37.48515235,126.9457794,1,0
15,Integrated,서울특별시 관악구 봉천로33나길 30,서울특별시 관악구 봉천동 905-29,은천동주민센터 주차장,37.48530456,126.9424095,4,0
16,Used battery,서울특별시 관악구 은천로9길 20,서울특별시 관악구 봉천동 634-45,한울작은도서관,37.48708055,126.9409749,0,1
17,Integrated,서울특별시 관악구 국회단지21길 14,서울특별시 관악구 봉천동 635-68,국지경로당,37.49028104,126.94155,1,0
18,Integrated,서울특별시 관악구 은천로15길 24,서울특별시 관악구 봉천동 1720,벽산블루밍 3차 605동,37.48780327,126.9443522,1,0
19,Integrated,서울특별시 관악구 은천로15길 24,서울특별시 관악구 봉천동 1720,벽산블루밍 3차 604동,37.48780327,126.9443522,1,0
20,Integrated,서울특별시 관악구 은천로15길 24,서울특별시 관악구 봉천동 1720,벽산블루밍 3차 601동,37.48780327,126.9443522,1,0
21,Used battery,서울특별시 관악구 은천로9길 20,서울특별시 관악구 봉천동 634-45,한울작은도서관,37.48708055,126.9409749,0,1
22,Used battery,서울특별시 관악구 봉천로33나길 30,서울특별시 관악구 봉천동 905-29,은천동주민센터 주차장,37.48530456,126.9424095,0,1
23,Integrated,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 관리사무소 옆,37.48939185,126.9554433,1,0
24,Integrated,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 110동,37.48939185,126.9554433,1,0
25,Integrated,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 115동,37.48984744,126.9529855,1,0
26,Integrated,서울특별시 관악구 은천로33길 5,서울특별시 관악구 봉천동 1719,동부센트레빌아파트 106동 지하입구,37.48730012,126.9501559,1,0
28,Integrated,서울특별시 관악구 구암길 38,서울특별시 관악구 봉천동 1712-9,성현동 주민센터 옆,37.48952989,126.9481596,1,0
29,Integrated,서울특별시 관악구 관악로 255-7,서울특별시 관악구 봉천동 1703-6,자치회관 후문,37.48721429,126.9566329,1,0
30,Integrated,서울특별시 관악구 은천로33길 5,서울특별시 관악구 봉천동 1719,관악동부센트레빌아파트 103동 옆,37.48730012,126.9501559,1,0
31,Integrated,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 101동,37.48939185,126.9554433,1,0
32,Integrated,서울특별시 관악구 구암길 106,서울특별시 관악구 봉천동 1712-1,관악드림타운 145동,37.49127941,126.9486646,1,0
33,Integrated,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 144동,37.48984744,126.9529855,1,0
34,Integrated,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 121동,37.48984744,126.9529855,1,0
35,Integrated,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 105동,37.48984744,126.9529855,1,0
36,Integrated,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 102동,37.48984744,126.9529855,1,0
37,Integrated,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 105동,37.48939185,126.9554433,1,0
38,Integrated,서울특별시 관악구 관악로37길 15,서울특별시 관악구 봉천동 7-312,"동아타운 21, CU편의점 후문",37.48895251,126.9571201,1,0
39,Integrated,서울특별시 관악구 관악로37길 20,서울특별시 관악구 봉천동 1703-1,봉천동아아파트 201동 앞,37.48755544,126.9559885,1,0
40,Integrated,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,봉천동아아파트 109동,37.48939185,126.9554433,1,0
41,Integrated,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 123동,37.48984744,126.9529855,1,0
42,Integrated,서울특별시 관악구 은천로 25,서울특별시 관악구 봉천동 952-20,관악드림타운 상가 앞,37.48642557,126.9382512,1,0
43,Integrated,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 상가,37.48939185,126.9554433,1,0
44,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 123동,37.48984744,126.9529855,0,1
45,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,,37.48984744,126.9529855,0,1
46,Used battery,서울특별시 관악구 구암길 106,서울특별시 관악구 봉천동 1712-1,관악드림타운 149동,37.49127941,126.9486646,0,1
47,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 139동 및 140동 사이,37.48984744,126.9529855,0,1
48,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 127동,37.48984744,126.9529855,0,1
49,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 126동,37.48984744,126.9529855,0,1
50,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운경로당 뒤편,37.48984744,126.9529855,0,1
51,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 106동,37.48984744,126.9529855,0,1
52,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 101동,37.48984744,126.9529855,0,1
53,Used battery,서울특별시 관악구 은천로33길 5,서울특별시 관악구 봉천동 1719,관악 동부 센트레빌 102동 담벼락 방향,37.48730012,126.9501559,0,1
54,Used battery,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 관리사무소,37.48939185,126.9554433,0,1
55,Used battery,서울특별시 관악구 관악로37길 20,서울특별시 관악구 봉천동 1703-1,봉천동아아파트 경로당 뒤편,37.48755544,126.9559885,0,1
56,Used battery,서울특별시 관악구 은천로 137,서울특별시 관악구 봉천동 1727,관악 한일유액아이아파트 관리사무소 앞,37.4867979,126.9505824,0,1
57,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 148동,37.48984744,126.9529855,0,1
58,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 113동,37.48984744,126.9529855,0,1
59,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 136동,37.48984744,126.9529855,0,1
60,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 142동,37.48984744,126.9529855,0,1
61,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 117동,37.48984744,126.9529855,0,1
62,Used battery,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 107동,37.48984744,126.9529855,0,1
63,Used battery,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 108동 지하계단,37.48939185,126.9554433,0,1
64,Used battery,서울특별시 관악구 관악로 263,서울특별시 관악구 봉천동 1721,관악브라운스톤 지하주차장,37.48819391,126.957247,0,1
65,Used battery,서울특별시 관악구 관악로 255-7,서울특별시 관악구 봉천동 1703-6,자치회관 입구,37.48721429,126.9566329,0,1
66,Used battery,서울특별시 관악구 구암길 106,서울특별시 관악구 봉천동 1712-1,관악드림타운 145동,37.49127941,126.9486646,0,1
67,Integrated,서울특별시 관악구 양녕로6나길 18,서울특별시 관악구 봉천동 1705,신봉아파트 정문 왼쪽,37.48455395,126.9489277,1,0
68,Integrated,서울특별시 관악구 은천로34길 24,서울특별시 관악구 봉천동 41-265,에메랄드아파트 주변,37.48554461,126.9534938,1,0
69,Integrated,서울특별시 관악구 양녕로6다길 7,서울특별시 관악구 봉천동 1512-7,중앙동주민센터,37.48419282,126.9497511,1,0
70,Integrated,서울특별시 관악구 은천로 174,서울특별시 관악구 봉천동 41-857,중앙동성당 주차장 오른쪽,37.48569714,126.9541767,1,0
71,Used battery,서울특별시 관악구 양녕로6나길 18,서울특별시 관악구 봉천동 1705,신봉아파트 정문 왼쪽,37.48455395,126.9489277,0,1
72,Integrated,서울특별시 관악구 관악로30길 27,서울특별시 관악구 봉천동 1717,관악푸르지오아파트 119동,37.48896635,126.9606433,1,0
73,Integrated,서울특별시 관악구 관악로30길 27,서울특별시 관악구 봉천동 1717,관악푸르지오아파트 107동,37.48896635,126.9606433,1,0
74,Integrated,서울특별시 관악구 관악로 304,서울특별시 관악구 봉천동 1000,관악현대아파트 113동,37.49205057,126.957711,1,0
75,Integrated,서울특별시 관악구 관악로40길 39,서울특별시 관악구 봉천동 1000,청림동 주민센터,37.49184717,126.9586277,1,0
76,Integrated,서울특별시 관악구 관악로 304,서울특별시 관악구 봉천동 1000,관악현대아파트 109동,37.49205057,126.957711,1,0
77,Integrated,서울특별시 관악구 관악로 304,서울특별시 관악구 봉천동 1000,관악현대아파트 116동,37.49205057,126.957711,1,0
78,Integrated,서울특별시 관악구 관악로 304,서울특별시 관악구 봉천동 1000,관악현대아파트 103동,37.49205057,126.957711,1,0
79,Used battery,서울특별시 관악구 관악로40길 39,서울특별시 관악구 봉천동 1000,청림동 주민센터,37.49184717,126.9586277,0,1
80,Integrated,서울특별시 관악구 관악로30길 12,서울특별시 관악구 봉천동 1706,봉천우성아파트 104동,37.48409831,126.9606845,1,0
81,Integrated,서울특별시 관악구 행운1길 43,서울특별시 관악구 봉천동 1670-7,행운동주민센터,37.48064257,126.9570309,2,0
82,Integrated,서울특별시 관악구 관악로30길 12,서울특별시 관악구 봉천동 1706,봉천우성아파트 109동 임대,37.48409831,126.9606845,1,0
83,Integrated,서울특별시 관악구 관악로30길 12,서울특별시 관악구 봉천동 1706,봉천우성아파트 106동,37.48409831,126.9606845,1,0
84,Integrated,서울특별시 관악구 행운9길 34,서울특별시 관악구 봉천동 1724-2,행운동 경로당,37.48340328,126.9596572,1,0
85,Integrated,서울특별시 관악구 청룡15길 30,서울특별시 관악구 봉천동 1580-3,그린빌라 옆,37.47638333,126.9470811,1,0
86,Integrated,서울특별시 관악구 관악로5길 42,서울특별시 관악구 봉천동 1700,갑을아파트 지하 주차장 입구,37.47508467,126.9520685,1,0
87,Integrated,서울특별시 관악구 장군봉7길 12,서울특별시 관악구 봉천동 1533-2,비안 어린이공원,37.48046043,126.9397958,1,0
88,Integrated,서울특별시 관악구 쑥고개로 44,서울특별시 관악구 봉천동 1539-1,청룡동주민센터 입구,37.4791175,126.9416407,1,0
89,Integrated,서울특별시 관악구 쑥고개로 44,서울특별시 관악구 봉천동 1539-1,금강아미움아파트 105동 뒤편,37.4791175,126.9416407,1,0
90,Integrated,,서울특별시 관악구 봉천동 1531-41,장군봉 근린공원 입구,37.48119817,126.9377027,1,0
91,Integrated,서울특별시 관악구 청룡10길 45,서울특별시 관악구 봉천동 1730,e편한세상 서울대입구,37.47805021,126.9433555,8,0
92,Integrated,서울특별시 관악구 참숯1길 19,서울특별시 관악구 봉천동 1733,e편한세상 서울대입구 2차,37.47838983,126.9417525,6,0
93,Used battery,서울특별시 관악구 쑥고개로 44,서울특별시 관악구 봉천동 1539-1,청룡동주민센터 입구,37.4791175,126.9416407,0,1
94,Used battery,서울특별시 관악구 청룡9길 12-39,서울특별시 관악구 봉천동 1577-15,청룡동 자치회관 입구,37.47804191,126.9464708,0,1
95,Integrated,서울특별시 관악구 청룡7길 55,서울특별시 관악구 봉천동 1697,선경아파트,37.47980346,126.9491054,1,0
96,Integrated,서울특별시 관악구 낙성대로 37,서울특별시 관악구 봉천동 296,낙성대현대아파트 관리사무소,37.47523654,126.9593965,1,0
97,Integrated,서울특별시 관악구 관악로 1,서울특별시 관악구 신림동 산 56-1,서울대가족생활관 933동 관리사무실,37.46803806,126.9592943,1,0
