Year,Region,School,Family,Students
2013,강남구,초등학교,국제결혼가정 자녀,98
2013,강남구,초등학교,외국인가정 자녀,10
2013,강남구,중학교,국제결혼가정 자녀,36
2013,강남구,중학교,외국인가정 자녀,2
2013,강남구,고등학교,국제결혼가정 자녀,24
2013,강남구,고등학교,외국인가정 자녀,7
2014,강남구,초등학교,국제결혼가정 자녀,130
2014,강남구,초등학교,외국인가정 자녀,17
2014,강남구,중학교,국제결혼가정 자녀,35
2014,강남구,중학교,외국인가정 자녀,1
2014,강남구,고등학교,국제결혼가정 자녀,32
2014,강남구,고등학교,외국인가정 자녀,8
2015,강남구,초등학교,국제결혼가정 자녀,163
2015,강남구,초등학교,외국인가정 자녀,18
2015,강남구,중학교,국제결혼가정 자녀,44
2015,강남구,중학교,외국인가정 자녀,2
2015,강남구,고등학교,국제결혼가정 자녀,26
2015,강남구,고등학교,외국인가정 자녀,1
2016,강남구,초등학교,국제결혼가정 자녀,197
2016,강남구,초등학교,외국인가정 자녀,39
2016,강남구,중학교,국제결혼가정 자녀,42
2016,강남구,중학교,외국인가정 자녀,7
2016,강남구,고등학교,국제결혼가정 자녀,32
2016,강남구,고등학교,외국인가정 자녀,2
2017,강남구,초등학교,국제결혼가정 자녀,212
2017,강남구,초등학교,외국인가정 자녀,9
2017,강남구,중학교,국제결혼가정 자녀,49
2017,강남구,중학교,외국인가정 자녀,2
2017,강남구,고등학교,국제결혼가정 자녀,35
2017,강남구,고등학교,외국인가정 자녀,1
2018,강남구,초등학교,국제결혼가정 자녀,188
2018,강남구,초등학교,외국인가정 자녀,14
2018,강남구,중학교,국제결혼가정 자녀,45
2018,강남구,중학교,외국인가정 자녀,4
2018,강남구,고등학교,국제결혼가정 자녀,41
2018,강남구,고등학교,외국인가정 자녀,3
2019,강남구,초등학교,국제결혼가정 자녀,188
2019,강남구,초등학교,외국인가정 자녀,15
2019,강남구,중학교,국제결혼가정 자녀,61
2019,강남구,중학교,외국인가정 자녀,3
2019,강남구,고등학교,국제결혼가정 자녀,37
2019,강남구,고등학교,외국인가정 자녀,5
2020,강남구,초등학교,국제결혼가정 자녀,179
2020,강남구,초등학교,외국인가정 자녀,13
2020,강남구,중학교,국제결혼가정 자녀,61
2020,강남구,중학교,외국인가정 자녀,5
2020,강남구,고등학교,국제결혼가정 자녀,38
2020,강남구,고등학교,외국인가정 자녀,3
2021,강남구,초등학교,국제결혼가정 자녀,186
2021,강남구,초등학교,외국인가정 자녀,20
2021,강남구,중학교,국제결혼가정 자녀,55
2021,강남구,중학교,외국인가정 자녀,6
2021,강남구,고등학교,국제결혼가정 자녀,51
2021,강남구,고등학교,외국인가정 자녀,3
2022,강남구,초등학교,국제결혼가정 자녀,157
2022,강남구,초등학교,외국인가정 자녀,17
2022,강남구,중학교,국제결혼가정 자녀,69
2022,강남구,중학교,외국인가정 자녀,8
2022,강남구,고등학교,국제결혼가정 자녀,53
2022,강남구,고등학교,외국인가정 자녀,2
2023,강남구,초등학교,국제결혼가정 자녀,174
2023,강남구,초등학교,외국인가정 자녀,11
2023,강남구,중학교,국제결혼가정 자녀,81
2023,강남구,중학교,외국인가정 자녀,7
2023,강남구,고등학교,국제결혼가정 자녀,54
2023,강남구,고등학교,외국인가정 자녀,2
2013,강동구,초등학교,국제결혼가정 자녀,258
2013,강동구,초등학교,외국인가정 자녀,35
2013,강동구,중학교,국제결혼가정 자녀,57
2013,강동구,중학교,외국인가정 자녀,2
2013,강동구,고등학교,국제결혼가정 자녀,43
2013,강동구,고등학교,외국인가정 자녀,4
2014,강동구,초등학교,국제결혼가정 자녀,274
2014,강동구,초등학교,외국인가정 자녀,17
2014,강동구,중학교,국제결혼가정 자녀,69
2014,강동구,중학교,외국인가정 자녀,1
2014,강동구,고등학교,국제결혼가정 자녀,45
2015,강동구,초등학교,국제결혼가정 자녀,265
2015,강동구,초등학교,외국인가정 자녀,46
2015,강동구,중학교,국제결혼가정 자녀,69
2015,강동구,중학교,외국인가정 자녀,1
2015,강동구,고등학교,국제결혼가정 자녀,40
2015,강동구,고등학교,외국인가정 자녀,1
2016,강동구,초등학교,국제결혼가정 자녀,291
2016,강동구,초등학교,외국인가정 자녀,49
2016,강동구,중학교,국제결혼가정 자녀,71
2016,강동구,중학교,외국인가정 자녀,7
2016,강동구,고등학교,국제결혼가정 자녀,44
2016,강동구,고등학교,외국인가정 자녀,8
2017,강동구,초등학교,국제결혼가정 자녀,298
2017,강동구,초등학교,외국인가정 자녀,38
2017,강동구,중학교,국제결혼가정 자녀,62
2017,강동구,중학교,외국인가정 자녀,3
2017,강동구,고등학교,국제결혼가정 자녀,46
2017,강동구,고등학교,외국인가정 자녀,2
2018,강동구,초등학교,국제결혼가정 자녀,343
2018,강동구,초등학교,외국인가정 자녀,44
2018,강동구,중학교,국제결혼가정 자녀,73
2018,강동구,중학교,외국인가정 자녀,4
2018,강동구,고등학교,국제결혼가정 자녀,51
2018,강동구,고등학교,외국인가정 자녀,3
2019,강동구,초등학교,국제결혼가정 자녀,387
2019,강동구,초등학교,외국인가정 자녀,44
2019,강동구,중학교,국제결혼가정 자녀,88
2019,강동구,중학교,외국인가정 자녀,7
2019,강동구,고등학교,국제결혼가정 자녀,44
2019,강동구,고등학교,외국인가정 자녀,6
2020,강동구,초등학교,국제결혼가정 자녀,397
2020,강동구,초등학교,외국인가정 자녀,55
2020,강동구,중학교,국제결혼가정 자녀,81
2020,강동구,중학교,외국인가정 자녀,8
2020,강동구,고등학교,국제결혼가정 자녀,54
2020,강동구,고등학교,외국인가정 자녀,4
2021,강동구,초등학교,국제결혼가정 자녀,427
2021,강동구,초등학교,외국인가정 자녀,57
2021,강동구,중학교,국제결혼가정 자녀,117
2021,강동구,중학교,외국인가정 자녀,18
2021,강동구,고등학교,국제결혼가정 자녀,42
2021,강동구,고등학교,외국인가정 자녀,1
2022,강동구,초등학교,국제결혼가정 자녀,405
2022,강동구,초등학교,외국인가정 자녀,90
2022,강동구,중학교,국제결혼가정 자녀,116
2022,강동구,중학교,외국인가정 자녀,16
2022,강동구,고등학교,국제결혼가정 자녀,29
2022,강동구,고등학교,외국인가정 자녀,7
2023,강동구,초등학교,국제결혼가정 자녀,431
2023,강동구,초등학교,외국인가정 자녀,95
2023,강동구,중학교,국제결혼가정 자녀,118
2023,강동구,중학교,외국인가정 자녀,41
2023,강동구,고등학교,국제결혼가정 자녀,43
2023,강동구,고등학교,외국인가정 자녀,6
2013,강북구,초등학교,국제결혼가정 자녀,127
2013,강북구,초등학교,외국인가정 자녀,26
2013,강북구,중학교,국제결혼가정 자녀,50
2013,강북구,중학교,외국인가정 자녀,5
2013,강북구,고등학교,국제결혼가정 자녀,17
2013,강북구,고등학교,외국인가정 자녀,2
2014,강북구,초등학교,국제결혼가정 자녀,175
2014,강북구,초등학교,외국인가정 자녀,6
2014,강북구,중학교,국제결혼가정 자녀,59
2014,강북구,중학교,외국인가정 자녀,3
2014,강북구,고등학교,국제결혼가정 자녀,20
2014,강북구,고등학교,외국인가정 자녀,1
2015,강북구,초등학교,국제결혼가정 자녀,216
2015,강북구,초등학교,외국인가정 자녀,14
2015,강북구,중학교,국제결혼가정 자녀,57
2015,강북구,중학교,외국인가정 자녀,3
2015,강북구,고등학교,국제결혼가정 자녀,26
2015,강북구,고등학교,외국인가정 자녀,6
2016,강북구,초등학교,국제결혼가정 자녀,260
2016,강북구,초등학교,외국인가정 자녀,38
2016,강북구,중학교,국제결혼가정 자녀,51
2016,강북구,중학교,외국인가정 자녀,17
2016,강북구,고등학교,국제결혼가정 자녀,31
2016,강북구,고등학교,외국인가정 자녀,6
2017,강북구,초등학교,국제결혼가정 자녀,271
2017,강북구,초등학교,외국인가정 자녀,11
2017,강북구,중학교,국제결혼가정 자녀,59
2017,강북구,중학교,외국인가정 자녀,5
2017,강북구,고등학교,국제결혼가정 자녀,44
2017,강북구,고등학교,외국인가정 자녀,7
2018,강북구,초등학교,국제결혼가정 자녀,318
2018,강북구,초등학교,외국인가정 자녀,17
2018,강북구,중학교,국제결혼가정 자녀,67
2018,강북구,중학교,외국인가정 자녀,7
2018,강북구,고등학교,국제결혼가정 자녀,41
2018,강북구,고등학교,외국인가정 자녀,6
2019,강북구,초등학교,국제결혼가정 자녀,344
2019,강북구,초등학교,외국인가정 자녀,26
2019,강북구,중학교,국제결혼가정 자녀,70
2019,강북구,중학교,외국인가정 자녀,6
2019,강북구,고등학교,국제결혼가정 자녀,54
2019,강북구,고등학교,외국인가정 자녀,3
2020,강북구,초등학교,국제결혼가정 자녀,335
2020,강북구,초등학교,외국인가정 자녀,40
2020,강북구,중학교,국제결혼가정 자녀,76
2020,강북구,중학교,외국인가정 자녀,8
2020,강북구,고등학교,국제결혼가정 자녀,46
2020,강북구,고등학교,외국인가정 자녀,11
2021,강북구,초등학교,국제결혼가정 자녀,369
2021,강북구,초등학교,외국인가정 자녀,39
2021,강북구,중학교,국제결혼가정 자녀,89
2021,강북구,중학교,외국인가정 자녀,8
2021,강북구,고등학교,국제결혼가정 자녀,61
2021,강북구,고등학교,외국인가정 자녀,7
